COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Malaysia,Bayan Lepas,2014,17.83262737,5.321008205,100.2901382,99694,Upper middle income,Western Pacific (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":100.29,""y"":5.32101,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Malaysia,Kuantan,2014,14.35566014,1.530976057,110.344223,440040,Upper middle income,Western Pacific (LMIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":110.344,""y"":1.53098,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Malaysia,Kuching,2014,13.7615319,1.530976057,110.344223,559999,Upper middle income,Western Pacific (LMIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":110.344,""y"":1.53098,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Malaysia,Petaling Jaya,2014,24.87085194,3.107094049,101.6082535,432619,Upper middle income,Western Pacific (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":101.608,""y"":3.10709,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Malaysia,Senai,2014,15.97297672,1.620286942,103.6563339,46880,Upper middle income,Western Pacific (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":103.656,""y"":1.62029,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Malaysia,Tanah Rata,2014,10.3079786,4.473849773,101.3785706,1000,Upper middle income,Western Pacific (LMIC),10-<15,yellow,"{""srid"":4326,""version"":1,""points"":[{""x"":101.379,""y"":4.47385,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
