COUNTRY,CITY,YEAR,PM25,latitude,longitude,POPULATION,WBINC16,REGION,CONC_PM25,COLOR_PM25,GEOM
Myanmar,Kathar,2013,42.27050002,24.18211937,96.33058167,26732,Lower middle income,South-East Asia (LMIC),35-<50,red,"{""srid"":4326,""version"":1,""points"":[{""x"":96.3306,""y"":24.1821,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Myanmar,Kyauk Pa Taung,2013,49.50098029,20.84434509,95.12757111,42817,Lower middle income,South-East Asia (LMIC),35-<50,red,"{""srid"":4326,""version"":1,""points"":[{""x"":95.1276,""y"":20.8443,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Myanmar,Meikhtilar,2013,32.87087567,20.87659264,95.86016083,111522,Lower middle income,South-East Asia (LMIC),25-<35,darkorange,"{""srid"":4326,""version"":1,""points"":[{""x"":95.8602,""y"":20.8766,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Myanmar,Nyaung Oo,2013,50.61336187,21.17725182,94.92470551,48528,Lower middle income,South-East Asia (LMIC),>50,darkred,"{""srid"":4326,""version"":1,""points"":[{""x"":94.9247,""y"":21.1773,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Myanmar,Pyay-Aunglan,2013,24.69487107,19.36027336,95.21884155,134861,Lower middle income,South-East Asia (LMIC),15-<25,orange,"{""srid"":4326,""version"":1,""points"":[{""x"":95.2188,""y"":19.3603,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
Myanmar,Taungoo,2013,76.1981382,18.93983459,96.43436432,108589,Lower middle income,South-East Asia (LMIC),>50,darkred,"{""srid"":4326,""version"":1,""points"":[{""x"":96.4344,""y"":18.9398,""z"":null,""m"":null}],""figures"":[{""attribute"":1,""pointOffset"":0}],""shapes"":[{""parentOffset"":-1,""figureOffset"":0,""type"":1}],""segments"":[]}"
